Tick,Best Score,Average Score
0.0,89,-258.104
1.0,89,-239.408
2.0,106,-220.784
3.0,132,-204.496
4.0,132,-177.868
5.0,132,-163.832
6.0,132,-148.208
7.0,135,-131.596
8.0,135,-115.052
9.0,135,-103.08
10.0,135,-95.356
11.0,210,-74.324
12.0,210,-65.108
13.0,210,-51.104
14.0,210,-38.692
15.0,210,-27.188
16.0,210,-13.48
17.0,210,-8.036
18.0,210,3.284
19.0,210,7.352
20.0,210,10.056
21.0,210,11.72
22.0,210,13.528
23.0,210,14.176
24.0,210,14.796
25.0,210,17.56
26.0,210,18.152
27.0,210,18.748
28.0,210,19.3
29.0,210,19.812
30.0,210,20.216
31.0,210,21.408
32.0,210,21.544
33.0,210,21.672
34.0,210,22.308
35.0,210,22.548
36.0,210,22.624
37.0,210,22.664
38.0,210,22.684
39.0,210,22.808
40.0,210,23.444
41.0,210,23.508
42.0,210,23.536
43.0,210,23.804
44.0,210,23.824
45.0,210,23.956
46.0,210,23.976
47.0,210,24.18
48.0,210,24.18
49.0,210,24.2
50.0,210,24.304
51.0,210,24.484
52.0,210,24.524
53.0,210,24.932
54.0,210,24.948
55.0,210,24.948
56.0,210,25.02
57.0,210,25.332
58.0,210,25.412
59.0,210,25.556
60.0,210,25.66
61.0,210,25.816
62.0,210,25.816
63.0,210,25.816
64.0,210,25.856
65.0,210,25.916
66.0,210,25.936
67.0,210,25.944
68.0,210,25.996
69.0,210,26.408
70.0,210,26.424
71.0,210,26.472
72.0,210,26.548
73.0,210,26.88
74.0,210,26.96
75.0,210,26.96
76.0,210,27.34
77.0,210,27.82
78.0,210,27.972
79.0,210,28.104
80.0,210,28.104
81.0,210,28.104
82.0,210,28.208
83.0,210,28.276
84.0,210,28.356
85.0,210,28.52
86.0,210,28.52
87.0,210,28.54
88.0,210,28.54
89.0,210,28.624
90.0,210,28.624
91.0,210,28.624
92.0,210,28.624
93.0,210,28.624
94.0,210,28.912
95.0,210,29.268
96.0,210,29.268
97.0,210,29.268
98.0,210,29.348
99.0,210,29.348
100.0,210,29.348
101.0,210,29.572
102.0,210,29.632
103.0,210,29.656
104.0,210,29.656
105.0,210,29.656
106.0,210,29.776
107.0,210,29.804
108.0,210,29.804
109.0,210,29.804
110.0,210,29.824
111.0,210,29.98
112.0,210,29.98
113.0,210,29.98
114.0,210,30.0
115.0,210,30.092
116.0,210,30.112
117.0,210,30.16
118.0,210,30.16
119.0,210,30.16
120.0,210,30.16
121.0,210,30.18
122.0,210,30.352
123.0,210,30.396
124.0,210,30.524
125.0,210,30.524
126.0,210,30.524
127.0,210,30.604
128.0,210,31.016
129.0,210,31.016
130.0,210,31.392
131.0,210,31.396
132.0,210,31.428
133.0,210,31.428
134.0,210,31.448
135.0,210,31.508
136.0,210,31.608
137.0,210,31.608
138.0,210,31.628
139.0,210,31.628
140.0,210,31.628
141.0,210,31.628
142.0,210,31.756
143.0,210,31.756
144.0,210,31.776
145.0,210,31.776
146.0,210,31.796
147.0,210,31.816
148.0,210,31.816
149.0,210,31.816
150.0,210,31.82
151.0,210,31.912
152.0,210,32.26
153.0,210,32.26
154.0,210,32.564
155.0,210,32.644
156.0,210,32.748
157.0,210,32.752
158.0,210,32.752
159.0,210,32.752
160.0,210,32.752
161.0,210,32.864
162.0,210,32.976
163.0,210,33.16
164.0,210,33.476
165.0,210,33.536
166.0,210,33.536
167.0,210,33.536
168.0,210,33.536
169.0,210,33.536
170.0,210,33.608
171.0,210,33.668
172.0,210,33.668
173.0,210,33.828
174.0,210,33.828
175.0,210,34.24
176.0,210,34.24
177.0,210,34.24
178.0,210,34.24
179.0,210,34.24
180.0,210,34.26
181.0,210,34.26
182.0,210,34.492
183.0,210,34.496
184.0,210,34.556
185.0,210,34.556
186.0,210,34.644
187.0,210,34.664
188.0,210,34.664
189.0,210,34.744
190.0,210,34.744
191.0,210,34.792
192.0,210,34.792
193.0,210,34.792
194.0,210,34.792
195.0,210,34.804
196.0,210,34.804
197.0,210,34.904
198.0,210,35.316
199.0,210,35.316
200.0,210,35.316
