Tick,Best Score,Average Score
0.0,23,-253.02333333333334
1.0,23,-231.02
2.0,23,-206.52666666666667
3.0,23,-194.26666666666668
4.0,40,-178.67
5.0,40,-165.63
6.0,40,-156.17
7.0,41,-143.22
8.0,121,-125.95666666666666
9.0,121,-112.89
10.0,121,-104.29
11.0,180,-92.81666666666666
12.0,217,-79.24
13.0,217,-70.02
14.0,217,-63.406666666666666
15.0,217,-48.473333333333336
16.0,217,-36.70666666666666
17.0,217,-27.35
18.0,217,-23.063333333333333
19.0,217,-19.74
20.0,217,-16.24
21.0,217,-13.44
22.0,217,-11.08
23.0,217,-9.46
24.0,217,-7.98
25.0,217,-6.8966666666666665
26.0,217,-5.62
27.0,217,-4.733333333333333
28.0,217,-3.82
29.0,217,-3.5566666666666666
30.0,217,-3.0366666666666666
31.0,217,-0.7333333333333333
32.0,217,0.0
33.0,217,0.42
34.0,217,0.9733333333333334
35.0,217,2.8933333333333335
36.0,217,3.723333333333333
37.0,217,4.496666666666667
38.0,217,4.703333333333333
39.0,217,4.87
40.0,217,5.366666666666666
41.0,217,5.586666666666667
42.0,217,6.083333333333333
43.0,217,6.49
44.0,217,6.703333333333333
45.0,217,7.483333333333333
46.0,217,8.066666666666666
47.0,217,8.31
48.0,217,8.69
49.0,217,8.69
50.0,217,8.91
51.0,217,8.91
52.0,217,9.106666666666667
53.0,217,9.43
54.0,217,9.48
55.0,217,9.596666666666666
56.0,217,9.596666666666666
57.0,217,9.6
58.0,217,9.6
59.0,217,9.603333333333333
60.0,217,9.786666666666667
61.0,217,9.793333333333333
62.0,217,9.873333333333333
63.0,217,9.99
64.0,217,10.24
65.0,217,10.24
66.0,217,10.373333333333333
67.0,217,10.456666666666667
68.0,217,10.656666666666666
69.0,217,10.656666666666666
70.0,217,10.97
71.0,217,11.003333333333334
72.0,217,11.396666666666667
73.0,217,11.456666666666667
74.0,217,11.613333333333333
75.0,217,11.846666666666666
76.0,217,11.866666666666667
77.0,217,11.983333333333333
78.0,217,12.0
79.0,217,12.216666666666667
80.0,217,12.266666666666667
81.0,217,12.366666666666667
82.0,217,12.366666666666667
83.0,217,12.573333333333334
84.0,217,12.59
85.0,217,12.656666666666666
86.0,217,12.806666666666667
87.0,217,13.023333333333333
88.0,217,13.183333333333334
89.0,217,13.183333333333334
90.0,217,13.233333333333333
91.0,217,13.3
92.0,217,13.333333333333334
93.0,217,13.35
94.0,217,13.483333333333333
95.0,217,13.496666666666666
96.0,217,13.503333333333334
97.0,217,13.553333333333333
98.0,217,13.553333333333333
99.0,217,13.553333333333333
100.0,217,13.553333333333333
101.0,217,13.553333333333333
102.0,217,13.553333333333333
103.0,217,13.553333333333333
104.0,217,13.553333333333333
105.0,217,13.553333333333333
106.0,217,13.57
107.0,217,13.646666666666667
108.0,217,13.646666666666667
109.0,217,13.646666666666667
110.0,217,13.646666666666667
111.0,217,13.663333333333334
112.0,217,13.68
113.0,217,13.683333333333334
114.0,217,13.683333333333334
115.0,217,13.683333333333334
116.0,217,13.683333333333334
117.0,217,13.693333333333333
118.0,217,13.71
119.0,217,13.71
120.0,217,13.826666666666666
121.0,217,14.01
122.0,217,14.056666666666667
123.0,217,14.06
124.0,217,14.11
125.0,217,14.11
126.0,217,14.11
127.0,217,14.19
128.0,217,14.19
129.0,217,14.19
130.0,217,14.206666666666667
131.0,217,14.24
132.0,217,14.29
133.0,217,14.29
134.0,217,14.29
135.0,217,14.29
136.0,217,14.356666666666667
137.0,217,14.356666666666667
138.0,217,14.356666666666667
139.0,217,14.356666666666667
140.0,217,14.37
141.0,217,14.37
142.0,217,14.37
143.0,217,14.403333333333334
144.0,217,14.403333333333334
145.0,217,14.41
146.0,217,14.626666666666667
147.0,217,14.626666666666667
148.0,217,14.676666666666666
149.0,217,14.676666666666666
150.0,217,14.676666666666666
151.0,217,14.676666666666666
152.0,217,14.676666666666666
153.0,217,14.693333333333333
154.0,217,14.693333333333333
155.0,217,14.693333333333333
156.0,217,14.693333333333333
157.0,217,14.693333333333333
158.0,217,14.693333333333333
159.0,217,14.86
160.0,217,14.86
161.0,217,14.86
162.0,217,15.01
163.0,217,15.01
164.0,217,15.123333333333333
165.0,217,15.14
166.0,217,15.173333333333334
167.0,217,15.173333333333334
168.0,217,15.173333333333334
169.0,217,15.173333333333334
170.0,217,15.173333333333334
171.0,217,15.173333333333334
172.0,217,15.173333333333334
173.0,217,15.173333333333334
174.0,217,15.173333333333334
175.0,217,15.173333333333334
176.0,217,15.25
177.0,217,15.25
178.0,217,15.383333333333333
179.0,217,15.383333333333333
180.0,217,15.383333333333333
181.0,217,15.41
182.0,217,15.41
183.0,217,15.54
184.0,217,15.54
185.0,217,15.54
186.0,217,15.54
187.0,217,15.54
188.0,217,15.54
189.0,217,15.54
190.0,217,15.54
191.0,217,15.573333333333334
192.0,217,15.573333333333334
193.0,217,15.573333333333334
194.0,217,15.573333333333334
195.0,217,15.573333333333334
196.0,217,15.573333333333334
197.0,217,15.573333333333334
198.0,217,15.573333333333334
199.0,217,15.573333333333334
200.0,217,15.573333333333334
