Tick,Best Score,Average Score
0.0,13,-262.44
1.0,29,-247.53
2.0,29,-230.32
3.0,29,-215.08
4.0,29,-203.02
5.0,29,-185.87
6.0,29,-173.44
7.0,29,-168.51
8.0,29,-151.29
9.0,29,-148.64
10.0,29,-126.87
11.0,100,-116.92
12.0,100,-107.0
13.0,100,-104.65
14.0,100,-88.71
15.0,100,-80.22
16.0,100,-72.3
17.0,100,-69.22
18.0,100,-61.47
19.0,100,-41.47
20.0,100,-36.4
21.0,100,-36.28
22.0,100,-35.35
23.0,100,-31.17
24.0,100,-28.06
25.0,100,-27.13
26.0,100,-26.71
27.0,100,-25.18
28.0,100,-19.88
29.0,100,-19.86
30.0,100,-18.4
31.0,100,-16.23
32.0,100,-16.13
33.0,100,-14.7
34.0,100,-13.72
35.0,100,-10.16
36.0,100,-9.67
37.0,100,-7.25
38.0,100,-6.5
39.0,100,-6.32
40.0,100,-6.27
41.0,100,-6.15
42.0,100,-5.42
43.0,100,-3.36
44.0,100,-2.5
45.0,100,-1.85
46.0,100,-1.55
47.0,100,-1.55
48.0,100,-0.49
49.0,100,-0.49
50.0,100,-0.07
51.0,100,0.08
52.0,100,0.83
53.0,100,1.08
54.0,100,1.29
55.0,100,1.83
56.0,100,3.13
57.0,100,3.13
58.0,100,3.13
59.0,100,3.13
60.0,100,3.13
61.0,100,3.13
62.0,100,3.16
63.0,100,3.16
64.0,100,3.16
65.0,100,3.21
66.0,100,3.21
67.0,100,3.34
68.0,100,3.34
69.0,100,3.74
70.0,100,3.74
71.0,100,3.89
72.0,100,4.55
73.0,100,4.55
74.0,100,4.55
75.0,100,4.55
76.0,100,4.55
77.0,100,5.06
78.0,100,5.21
79.0,100,5.21
80.0,100,5.21
81.0,100,5.21
82.0,100,5.21
83.0,100,5.31
84.0,100,5.61
85.0,100,5.61
86.0,100,5.71
87.0,100,5.71
88.0,100,5.71
89.0,100,5.71
90.0,100,5.71
91.0,100,5.71
92.0,100,5.71
93.0,100,5.98
94.0,100,6.03
95.0,100,6.15
96.0,100,6.15
97.0,100,6.15
98.0,100,6.15
99.0,100,6.15
100.0,100,6.15
101.0,100,6.53
102.0,100,6.53
103.0,102,7.21
104.0,102,7.21
105.0,102,7.21
106.0,102,7.21
107.0,102,7.21
108.0,102,7.26
109.0,102,7.26
110.0,102,7.26
111.0,102,7.5
112.0,102,7.5
113.0,102,7.66
114.0,102,7.71
115.0,102,7.71
116.0,102,7.71
117.0,102,7.71
118.0,102,8.32
119.0,102,8.32
120.0,102,8.32
121.0,102,8.32
122.0,102,8.32
123.0,102,8.32
124.0,102,8.32
125.0,102,8.32
126.0,102,8.32
127.0,102,8.32
128.0,102,8.43
129.0,102,8.43
130.0,102,8.43
131.0,102,8.43
132.0,102,8.68
133.0,102,8.68
134.0,102,8.68
135.0,102,8.68
136.0,102,8.68
137.0,102,8.68
138.0,102,8.68
139.0,102,8.68
140.0,102,8.68
141.0,102,8.68
142.0,102,8.68
143.0,102,8.68
144.0,102,8.68
145.0,102,8.68
146.0,102,8.93
147.0,102,8.98
148.0,102,8.98
149.0,102,8.98
150.0,106,9.9
151.0,106,9.9
152.0,106,10.12
153.0,106,10.12
154.0,215,12.18
155.0,215,12.18
156.0,215,12.92
157.0,215,12.92
158.0,215,12.92
159.0,215,13.48
160.0,215,13.48
161.0,215,13.48
162.0,215,13.48
163.0,215,13.48
164.0,215,13.48
165.0,215,13.58
166.0,215,13.58
167.0,215,13.58
168.0,215,13.63
169.0,215,13.63
170.0,215,13.63
171.0,215,13.87
172.0,215,14.12
173.0,215,14.12
174.0,215,14.12
175.0,215,14.12
176.0,215,14.12
177.0,215,14.12
178.0,215,14.12
179.0,215,14.12
180.0,215,14.12
181.0,215,14.12
182.0,215,14.91
183.0,215,14.91
184.0,215,14.91
185.0,215,14.91
186.0,215,14.91
187.0,215,15.45
188.0,215,15.45
189.0,215,15.45
190.0,215,15.45
191.0,215,16.25
192.0,215,16.25
193.0,215,16.25
194.0,215,16.25
195.0,215,16.25
196.0,215,16.25
197.0,215,16.25
198.0,215,16.25
199.0,215,16.25
200.0,215,16.25
